"","nOTUs","percGenus","percFamily","percOrder","percClass","percPhylum","percKingdom","table"
"1",1977,0.339908952959029,0.459787556904401,0.613050075872534,0.77137076378351,0.939807789580172,1,"2012ITS"
"2",1875,0.3008,0.413866666666667,0.5568,0.712533333333333,0.907733333333333,1,"2014ITS"
"3",9980,0.566733466933868,0.69438877755511,0.764328657314629,0.836773547094188,0.87374749498998,1,"201216S"
"4",6500,0.557846153846154,0.678,0.745384615384615,0.824615384615385,0.875384615384615,1,"201416S"
