"","yrharv","gene","yrdeploy","constr.chi","unconst.chi","tot.chi"
"1","2012","16S","d09",6.33299542097,62.8141922044689,69.147187625439
"2","2012","16S","d11",5.85883091018549,31.3220838230985,37.180914733284
"3","2012","ITS","d09",10.619555806518,76.3145598073389,86.9341156138568
"4","2012","ITS","d11",9.17946797582307,35.5806260792839,44.760094055107
"5","2014","16S","d09",5.69936048020649,74.0665147372873,79.7658752174938
"6","2014","16S","d11",4.73999185331805,37.3640723878368,42.1040642411548
"7","2014","ITS","d09",9.78156098527476,79.6524472174457,89.4340082027204
"8","2014","ITS","d11",6.04806376667876,39.9134153184823,45.9614790851611
