"","min","max","mean","n","se","source"
"1",162,215828,12275.7987220447,313,740.225590299524,"201216S"
"2",111,242741,10207.2707692308,325,995.189807940574,"2012ITS"
"3",112,25236,4180.93447293447,351,134.328303728906,"201416S"
"4",146,36515,6437.87009063444,331,245.97501734685,"2014ITS"
